,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_Sfty,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 10_level_0_Sk,Unnamed: 11_level_0_Sk,Unnamed: 14_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 15_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 19_level_0_Sk,Unnamed: 19_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 22_level_0_Status,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Status,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Sk,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Sk,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Status,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 41_level_0_Status,Unnamed: 42_level_0_Status,Unnamed: 43_level_0_Sk,Unnamed: 43_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 45_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 47_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 50_level_0_Status,Unnamed: 56_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 61_level_0_Status,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
525,,,,,0,0%,,,,,,,,,,,"Austin, Tavon",9,12%,,,,,,,,,,,,WR,5,0,14.60,73,100.0%,1,0,1,7.00,7.00,7,1,0,-3.00,-3,5,16%,,,,,,,,,,2.0,*,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,,,2019-01-05,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,28.296,,DAL,,SEA,W 24-22
526,,,,,0,0%,,,,,,,,,,,"Austin, Tavon",13,22%,,,,,,,,,,,,WR,0,0,,0,100.0%,1,0,1,-2.00,-2.00,-2,0,0,,0,1,4%,,,,,,,,,,3.0,,,,,,,,,,,,2018.0,,,,,,,,,,,,,,,,,2019-01-12,,,,,,,,,,,18.0,,,,,,,,,,19.0,,,28.303,,DAL,@,LAR,L 22-30
527,,,,,0,0%,,,,,,,,,,,"Austin, Tavon",1,1%,,,,,,,,,,,,WR,2,0,8.50,17,0.0%,0,0,0,,,0,0,0,,0,4,18%,,,,,,,,,,4.0,,,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,2021-01-16,,,,,,,,,,,17.0,,,,,,,,,,19.0,,,30.307,,GNB,,LAR,W 32-18
528,,,,,0,0%,,,,,,,,,,,"Austin, Tavon",0,0%,,,,,,,,,,,,WR,0,0,,0,0.0%,0,0,0,,,0,0,0,,0,2,8%,,,,,,,,,,5.0,,,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,2021-01-24,,,,,,,,,,,18.0,,,,,,,,,,20.0,,,30.315,,GNB,,TAM,L 26-31
529,,,,,,,,,,,,,,,,,"Austin, Tavon",,,,,,,,,,,,,,WR,7,0,12.86,90,100.0%,2,0,2,2.50,2.50,5,1,0,-3.00,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-3-0
530,,,,,Inactive,Inactive,,,,,,,,,,,"Toon, Nick",Inactive,Inactive,,,,,,,,,,,,WR,,,,,,,,,,,,,,,,Inactive,Inactive,,,,,,,,,,1.0,Inactive,,,,,,Inactive,,,,,2013.0,,,,,,,,,,,,,,,,,2014-01-04,,,,,,,,,,,,,,,,,,,,,18.0,,,,,NOR,@,PHI,W 26-24
531,,,,,Inactive,Inactive,,,,,,,,,,,"Toon, Nick",Inactive,Inactive,,,,,,,,,,,,WR,,,,,,,,,,,,,,,,Inactive,Inactive,,,,,,,,,,2.0,Inactive,,,,,,Inactive,,,,,2013.0,,,,,,,,,,,,,,,,,2014-01-11,,,,,,,,,,,,,,,,,,,,,19.0,,,,,NOR,@,SEA,L 15-23
532,,,,,,,,,,,,,,,,,"Toon, Nick",,,,,,,,,,,,,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,,,,,Inactive,Inactive,,,,,,,,,,,"King, Tavarres",Inactive,Inactive,,,,,,,,,,,,WR,,,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,,Inactive,Inactive,,Inactive,,Inactive,,,,,,1.0,Inactive,,,,,,,,,,,2013.0,,,,,,,,,,,,Inactive,,,,,2014-01-12,,,,,,,,,,,,,,,,,,,,,19.0,,,,,CAR,,SFO,L 10-23
534,,,,,0,0%,,,,,,,,,,,"King, Tavarres",27,42%,,,,,,,,,,,,WR,,,,,50.0%,3,1,6,24.33,12.17,73,,,,,0,0%,,6,,1,,,,,,2.0,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2017-01-08,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,26.178,,NYG,@,GNB,L 13-38
535,,,,,,,,,,,,,,,,,"King, Tavarres",,,,,,,,,,,,,,WR,,,,,50.0%,3,1,6,24.33,12.17,73,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1-0
536,,,,,0,0%,,,,,,,,,,,"Morgan, Josh",43,78%,,,,,,,,,,,,WR,,,,,14.3%,1,0,7,0.0,0.0,0,,,,,0,0%,,,,,,,,,,1.0,*,,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,2013-01-06,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,27.2,,WAS,,SEA,L 14-24
537,,,,,,,,,,,,,2,0,14.00,28,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,0.0%,0,0,0,,,0,,,,,,,,0,,0,,,,,,1.0,,,,,,,,,,,,1994.0,,,,,,,,,,,,,,,,,1995-01-07,,,,,,,,,,,17.0,,,,,,,,,,19.0,,,23.004,,PIT,,CLE,W 29-9
538,,,,,,,,,,,,,4,0,18.25,73,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,0.0%,0,0,2,,0.00,0,,,,,,,,0,,0,,,,,,2.0,,,,,,,,,,,,1994.0,,,,,,,,,,,,,,,,,1995-01-15,,,,,,,,,,,18.0,,,,,,,,,,20.0,,,23.012,,PIT,,SDG,L 13-17
