TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
WAS,16,"6,454",403.4,"4,758",297.4,"1,696",106,396,24.8,2016
CAR,16,"5,499",343.7,"3,685",230.3,"1,814",113.4,369,23.1,2016
JAX,16,"5,359",334.9,"3,728",233,"1,631",101.9,318,19.9,2016
BAL,16,"5,563",347.7,"4,100",256.3,"1,463",91.4,343,21.4,2016
HOU,16,"5,035",314.7,"3,176",198.5,"1,859",116.2,279,17.4,2016
ATL,16,"5,837",364.8,"3,990",249.4,"1,847",115.4,353,22.1,2017
BUF,16,"4,842",302.6,"2,825",176.6,"2,017",126.1,302,18.9,2017
CHI,16,"4,599",287.4,"2,811",175.7,"1,788",111.8,264,16.5,2017
CIN,16,"4,488",280.5,"3,122",195.1,"1,366",85.4,290,18.1,2017
CLE,16,"4,942",308.9,"3,228",201.8,"1,714",107.1,234,14.6,2017
DAL,16,"5,311",331.9,"3,141",196.3,"2,170",135.6,354,22.1,2017
DEN,16,"5,185",324.1,"3,333",208.3,"1,852",115.8,289,18.1,2017
DET,16,"5,404",337.8,"4,183",261.4,"1,221",76.3,410,25.6,2017
GNB,16,"4,891",305.7,"3,167",197.9,"1,724",107.8,320,20,2017
TEN,16,"5,024",314,"3,191",199.4,"1,833",114.6,334,20.9,2017
IND,16,"4,553",284.6,"2,892",180.8,"1,661",103.8,263,16.4,2017
KAN,16,"6,007",375.4,"4,104",256.5,"1,903",118.9,415,25.9,2017
LVR,16,"5,185",324.1,"3,631",226.9,"1,554",97.1,301,18.8,2017
LAR,16,"5,784",361.5,"3,831",239.4,"1,953",122.1,478,29.9,2017
MIA,16,"4,923",307.7,"3,535",220.9,"1,388",86.8,281,17.6,2017
MIN,16,"5,710",356.9,"3,753",234.6,"1,957",122.3,382,23.9,2017
NWE,16,"6,307",394.2,"4,418",276.1,"1,889",118.1,458,28.6,2017
NOR,16,"6,259",391.2,"4,189",261.8,"2,070",129.4,448,28,2017
NYG,16,"5,028",314.3,"3,479",217.4,"1,549",96.8,246,15.4,2017
NYJ,16,"4,884",305.3,"3,182",198.9,"1,702",106.4,298,18.6,2017
PHI,16,"5,852",365.8,"3,737",233.6,"2,115",132.2,457,28.6,2017
ARI,16,"5,026",314.1,"3,640",227.5,"1,386",86.6,295,18.4,2017
PIT,16,"6,047",377.9,"4,380",273.8,"1,667",104.2,406,25.4,2017
LAC,16,"6,026",376.6,"4,431",276.9,"1,595",99.7,355,22.2,2017
SFO,16,"5,589",349.3,"3,925",245.3,"1,664",104,331,20.7,2017
SEA,16,"5,286",330.4,"3,657",228.6,"1,629",101.8,366,22.9,2017
TAM,16,"5,816",363.5,"4,366",272.9,"1,450",90.6,335,20.9,2017
WAS,16,"5,199",324.9,"3,751",234.4,"1,448",90.5,342,21.4,2017
CAR,16,"5,179",323.7,"3,077",192.3,"2,102",131.4,363,22.7,2017
