,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 11_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 16_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Sk,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Sk,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 53_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
449,,,,,Inactive,Inactive,,,,,,,,,,,"Green, Ladarius",Inactive,Inactive,,,,,,,,,,,,TE,,,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,,Inactive,Inactive,,Inactive,Inactive,,,,,,4.0,Inactive,,,,,,,2016.0,,,,,,,,,,,Inactive,,,,2017-01-15,,,,,,,,,,,,,19.0,,,PIT,@,KAN,W 18-16
450,,,,,Inactive,Inactive,,,,,,,,,,,"Green, Ladarius",Inactive,Inactive,,,,,,,,,,,,TE,,,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,,Inactive,Inactive,,Inactive,Inactive,,,,,,5.0,Inactive,,,,,,,2016.0,,,,,,,,,,,Inactive,,,,2017-01-22,,,,,,,,,,,,,20.0,,,PIT,@,NWE,L 17-36
451,,,,,,,,,,,,,,,,,"Green, Ladarius",,,,,,,,,,,,,,TE,,,,,83.3%,5,1,6,8.20,6.83,41,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Games,,,,,,,,,,,,,,,,,,,1-1-0
452,,,,,0.0,0%,,,,,,,,,,,"Bostick, Brandon",0.0,0%,,,,,,,,,,,,TE,,,,,,,,,,,,,,,,13.0,62%,,,,,,0,,0,1.0,,0.0,,,,,,2014.0,,,,,,,,,,,,,,,2015-01-11,,,,,,,,,,17.0,,,19.0,,25.253,GNB,,DAL,W 26-21
453,,,,,0.0,0%,,,,,,,,,,,"Bostick, Brandon",1.0,1%,,,,,,,,,,,,TE,,,,,,,,,,,,,,,,21.0,68%,,,,1.0,1.0,0,0.0,0,2.0,,0.0,,,,,,2014.0,,,,,,,,,,,,,,,2015-01-18,,,,,,,,,,18.0,,,20.0,,25.26,GNB,@,SEA,L 22-28
454,,,,,,,,,,,,,,,,,"Bostick, Brandon",,,,,,,,,,,,,,TE,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0,0.0,0,,,0.0,,,,,,,,,,,,,,,,,,,,,2 Games,,,,,,,,,,,,,,,,,,,1-1-0
455,,,,,,,,,,,,,,,,,"Tamme, Jacob",,,,,,,,,,,,,,TE,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,1.0,,,,,,,,2008.0,0.0,,,,,,,,,,,,,,2009-01-03,,,,,,,,,,17.0,,,18.0,,23.294,IND,@,SDG,L 17-23
456,,,,,,,,,,,,,,,,,"Tamme, Jacob",,,,,,,,,,,,,,TE,,,,,0.0%,0,0,,,,0,,,,,,,,0,0,1,1,,0,,2.0,,,,,,,,2009.0,0.0,,,,,,,,,,,,,,2010-01-16,,,,,,,,,,17.0,,,19.0,,24.307,IND,,BAL,W 20-3
457,,,,,,,,,,,,,,,,,"Tamme, Jacob",,,,,,,,,,,,,,TE,,,,,0.0%,,,,,,,,,,,,,,0,0,1,1,0,0,0,3.0,,,,,,,,2009.0,0.0,,,,,,,,,,,,,,2010-01-24,,,,,,,,,,18.0,,,20.0,,24.315,IND,,NYJ,W 30-17
458,,,,,,,,,,,,,,,,,"Tamme, Jacob",,,,,,,,,,,,,,TE,,,,,0.0%,0,0,0,,,0,,,,,,,,0,0,0,0,,0,,4.0,,,,,,,,2009.0,0.0,,,,,,,,,,,,,,2010-02-07,,,,,,,,,,19.0,,,21.0,,24.329,IND,N,NOR,L 17-31
