TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
PHI,16,"6,009",375.6,"4,238",264.9,"1,771",110.7,400,25,2014
ARI,16,"5,891",368.2,"4,152",259.5,"1,739",108.7,299,18.7,2014
PIT,16,"5,654",353.4,"4,049",253.1,"1,605",100.3,368,23,2014
LAC,16,"5,413",338.3,"3,427",214.2,"1,986",124.1,348,21.8,2014
SFO,16,"5,143",321.4,"3,531",220.7,"1,612",100.8,340,21.3,2014
SEA,16,"4,274",267.1,"2,970",185.6,"1,304",81.5,254,15.9,2014
TAM,16,"5,903",368.9,"4,084",255.3,"1,819",113.7,410,25.6,2014
WAS,16,"5,712",357,"3,990",249.4,"1,722",107.6,438,27.4,2014
CAR,16,"5,437",339.8,"3,645",227.8,"1,792",112,374,23.4,2014
JAX,16,"5,932",370.8,"3,899",243.7,"2,033",127.1,412,25.8,2014
BAL,16,"5,391",336.9,"3,979",248.7,"1,412",88.3,302,18.9,2014
HOU,16,"5,571",348.2,"3,890",243.1,"1,681",105.1,307,19.2,2014
ATL,16,"5,562",347.6,"3,882",242.6,"1,680",105,345,21.6,2015
BUF,16,"5,702",356.4,"3,972",248.3,"1,730",108.1,359,22.4,2015
CHI,16,"5,527",345.4,"3,593",224.6,"1,934",120.9,397,24.8,2015
CIN,16,"5,453",340.8,"3,976",248.5,"1,477",92.3,279,17.4,2015
CLE,16,"6,067",379.2,"4,012",250.8,"2,055",128.4,432,27,2015
DAL,16,"5,570",348.1,"3,636",227.3,"1,934",120.9,374,23.4,2015
DEN,16,"4,530",283.1,"3,193",199.6,"1,337",83.6,296,18.5,2015
DET,16,"5,594",349.6,"3,789",236.8,"1,805",112.8,400,25,2015
GNB,16,"5,547",346.7,"3,642",227.6,"1,905",119.1,323,20.2,2015
TEN,16,"5,475",342.2,"3,678",229.9,"1,797",112.3,423,26.4,2015
IND,16,"6,066",379.1,"4,114",257.1,"1,952",122,408,25.5,2015
KAN,16,"5,269",329.3,"3,698",231.1,"1,571",98.2,287,17.9,2015
LVR,16,"5,818",363.6,"4,140",258.8,"1,678",104.9,399,24.9,2015
LAR,16,"5,885",367.8,"4,065",254.1,"1,820",113.8,330,20.6,2015
MIA,16,"6,019",376.2,"4,000",250,"2,019",126.2,389,24.3,2015
MIN,16,"5,507",344.2,"3,759",234.9,"1,748",109.3,302,18.9,2015
